,Element,Wavelength,n,k
0,Ag,0.1879,1.07,1.212
1,Ag,0.1916,1.1,1.232
2,Ag,0.1953,1.12,1.255
3,Ag,0.1993,1.14,1.277
4,Ag,0.2033,1.15,1.296
5,Ag,0.2073,1.18,1.312
6,Ag,0.2119,1.2,1.325
7,Ag,0.2164,1.22,1.336
8,Ag,0.2214,1.25,1.342
9,Ag,0.2262,1.26,1.344
10,Ag,0.2313,1.28,1.357
11,Ag,0.2371,1.28,1.367
12,Ag,0.2426,1.3,1.378
13,Ag,0.249,1.31,1.389
14,Ag,0.2551,1.33,1.393
15,Ag,0.2616,1.35,1.387
16,Ag,0.2689,1.38,1.372
17,Ag,0.2761,1.41,1.331
18,Ag,0.2844,1.41,1.264
19,Ag,0.2924,1.39,1.161
20,Ag,0.3009,1.34,0.964
21,Ag,0.3107,1.13,0.616
22,Ag,0.3204,0.81,0.392
23,Ag,0.3315,0.17,0.829
24,Ag,0.3425,0.14,1.142
25,Ag,0.3542,0.1,1.419
26,Ag,0.3679,0.07,1.657
27,Ag,0.3815,0.05,1.864
28,Ag,0.3974,0.05,2.07
29,Ag,0.4133,0.05,2.275
30,Ag,0.4305,0.04,2.462
31,Ag,0.4509,0.04,2.657
32,Ag,0.4714,0.05,2.869
33,Ag,0.4959,0.05,3.093
34,Ag,0.5209,0.05,3.324
35,Ag,0.5486,0.06,3.586
36,Ag,0.5821,0.05,3.858
37,Ag,0.6168,0.06,4.152
38,Ag,0.6595,0.05,4.483
39,Ag,0.7045,0.04,4.838
40,Ag,0.756,0.03,5.242
41,Ag,0.8211,0.04,5.727
42,Ag,0.892,0.04,6.312
43,Ag,0.984,0.04,6.992
44,Ag,1.088,0.04,7.795
45,Ag,1.216,0.09,8.828
46,Ag,1.393,0.13,10.1
47,Ag,1.61,0.15,11.85
48,Ag,1.937,0.24,14.08
49,Ag2,0.27,1.364,1.318
50,Ag2,0.28,1.477,1.24
51,Ag2,0.29,1.531,1.168
52,Ag2,0.3,1.609,0.9126
53,Ag2,0.31,1.373,0.5192
54,Ag2,0.32,0.8191,0.3334
55,Ag2,0.33,0.2207,0.6779
56,Ag2,0.34,0.1109,1.084
57,Ag2,0.35,0.08443,1.341
58,Ag2,0.36,0.07339,1.536
59,Ag2,0.3699,0.06727,1.699
60,Ag2,0.3799,0.06325,1.841
61,Ag2,0.3899,0.06035,1.971
62,Ag2,0.3999,0.05817,2.09
63,Ag2,0.4099,0.05647,2.203
64,Ag2,0.4199,0.05515,2.31
65,Ag2,0.4299,0.05411,2.413
66,Ag2,0.4399,0.05332,2.513
67,Ag2,0.4499,0.05271,2.609
68,Ag2,0.4599,0.05227,2.703
69,Ag2,0.4699,0.05198,2.795
70,Ag2,0.4799,0.05181,2.886
71,Ag2,0.4899,0.05175,2.974
72,Ag2,0.4999,0.0518,3.062
73,Ag2,0.5099,0.05193,3.148
74,Ag2,0.5199,0.05215,3.233
75,Ag2,0.5299,0.05245,3.318
76,Ag2,0.5399,0.05282,3.401
77,Ag2,0.5499,0.05326,3.484
78,Ag2,0.5599,0.05376,3.566
79,Ag2,0.5699,0.05431,3.648
80,Ag2,0.5799,0.05493,3.728
81,Ag2,0.5899,0.0556,3.809
82,Ag2,0.5999,0.05632,3.889
83,Ag2,0.6099,0.05709,3.968
84,Ag2,0.6199,0.0579,4.048
85,Ag2,0.6299,0.05876,4.126
86,Ag2,0.6399,0.05966,4.205
87,Ag2,0.6499,0.06061,4.283
88,Ag2,0.6599,0.06159,4.361
89,Ag2,0.6699,0.06262,4.438
90,Ag2,0.6799,0.06368,4.516
91,Ag2,0.6899,0.06478,4.593
92,Ag2,0.6999,0.06591,4.669
93,Ag2,0.7099,0.06708,4.746
94,Ag2,0.7199,0.06829,4.823
95,Ag2,0.7299,0.06953,4.899
96,Ag2,0.7399,0.0708,4.975
97,Ag2,0.7499,0.0721,5.051
98,Ag2,0.7599,0.07344,5.126
99,Ag2,0.7699,0.0748,5.202
100,Ag2,0.7799,0.0762,5.278
101,Ag2,0.7899,0.07762,5.353
102,Ag2,0.7999,0.07908,5.428
103,Ag2,0.8099,0.08057,5.503
104,Ag2,0.8199,0.08208,5.578
105,Ag2,0.8299,0.08362,5.653
106,Ag2,0.8399,0.08519,5.728
107,Ag2,0.8499,0.08679,5.802
108,Ag2,0.8599,0.08841,5.877
109,Ag2,0.8699,0.09007,5.951
110,Ag2,0.8799,0.09174,6.026
111,Ag2,0.8899,0.09345,6.1
112,Ag2,0.8999,0.09518,6.174
113,Ag2,0.9099,0.09694,6.248
114,Ag2,0.9199,0.09872,6.322
115,Ag2,0.9299,0.1005,6.396
116,Ag2,0.9399,0.1024,6.47
117,Ag2,0.9499,0.1042,6.544
118,Ag2,0.9599,0.1061,6.618
119,Ag2,0.9698,0.108,6.691
120,Ag2,0.9799,0.11,6.765
121,Ag2,0.9899,0.1119,6.838
122,Ag2,0.9999,0.1139,6.912
123,Ag2,1.01,0.1159,6.985
124,Ag2,1.02,0.1179,7.059
125,Ag2,1.03,0.12,7.132
126,Ag2,1.04,0.1221,7.206
127,Ag2,1.05,0.1242,7.279
128,Ag2,1.06,0.1263,7.352
129,Ag2,1.07,0.1285,7.425
130,Ag2,1.08,0.1306,7.498
131,Ag2,1.09,0.1328,7.571
132,Ag2,1.1,0.1351,7.645
133,Ag2,1.11,0.1373,7.718
134,Ag2,1.12,0.1396,7.791
135,Ag2,1.13,0.1419,7.863
136,Ag2,1.14,0.1442,7.936
137,Ag2,1.15,0.1465,8.009
138,Ag2,1.16,0.1489,8.082
139,Ag2,1.17,0.1513,8.155
140,Ag2,1.18,0.1537,8.228
141,Ag2,1.19,0.1561,8.3
142,Ag2,1.2,0.1585,8.373
143,Ag2,1.21,0.161,8.446
144,Ag2,1.22,0.1635,8.518
145,Ag2,1.23,0.166,8.591
146,Ag2,1.24,0.1686,8.664
147,Ag2,1.25,0.1711,8.736
148,Ag2,1.26,0.1737,8.809
149,Ag2,1.268,0.1759,8.869
150,Ag2,1.27,0.1763,8.881
151,Ag2,1.278,0.1785,8.942
152,Ag2,1.28,0.179,8.954
153,Ag2,1.288,0.1812,9.015
154,Ag2,1.29,0.1816,9.026
155,Ag2,1.299,0.184,9.09
156,Ag2,1.3,0.1843,9.099
157,Ag2,1.309,0.1868,9.166
158,Ag2,1.31,0.187,9.171
159,Ag2,1.32,0.1897,9.243
160,Ag2,1.328,0.1919,9.302
161,Ag2,1.33,0.1924,9.316
162,Ag2,1.339,0.1949,9.381
163,Ag2,1.34,0.1952,9.388
164,Ag2,1.347,0.1973,9.442
165,Ag2,1.35,0.198,9.46
166,Ag2,1.359,0.2004,9.524
167,Ag2,1.367,0.2029,9.586
168,Ag2,1.379,0.2062,9.67
169,Ag2,1.388,0.2087,9.734
170,Ag2,1.4,0.2122,9.82
171,Ag2,1.409,0.2148,9.886
172,Ag2,1.418,0.2176,9.953
173,Ag2,1.427,0.2203,10.02
174,Ag2,1.43,0.221,10.04
175,Ag2,1.437,0.2231,10.09
176,Ag2,1.44,0.224,10.11
177,Ag2,1.45,0.227,10.18
178,Ag2,1.46,0.2301,10.26
179,Ag2,1.469,0.233,10.32
180,Ag2,1.47,0.2331,10.33
181,Ag2,1.48,0.2362,10.4
182,Ag2,1.49,0.2393,10.47
183,Ag2,1.497,0.2414,10.52
184,Ag2,1.5,0.2424,10.54
185,Ag2,1.507,0.2446,10.6
186,Ag2,1.51,0.2455,10.62
187,Ag2,1.518,0.248,10.67
188,Ag2,1.52,0.2487,10.69
189,Ag2,1.528,0.2514,10.75
190,Ag2,1.53,0.2518,10.76
191,Ag2,1.539,0.2549,10.83
192,Ag2,1.54,0.255,10.83
193,Ag2,1.547,0.2572,10.88
194,Ag2,1.55,0.2582,10.9
195,Ag2,1.558,0.2608,10.96
196,Ag2,1.56,0.2615,10.98
197,Ag2,1.569,0.2645,11.04
198,Ag2,1.57,0.2647,11.05
199,Ag2,1.577,0.267,11.1
200,Ag2,1.58,0.268,11.12
201,Ag2,1.588,0.2708,11.18
202,Ag2,1.59,0.2713,11.19
203,Ag2,1.596,0.2734,11.24
204,Ag2,1.6,0.2747,11.26
205,Ag2,1.608,0.2774,11.32
206,Ag2,1.61,0.278,11.34
207,Ag2,1.616,0.2801,11.38
208,Ag2,1.62,0.2814,11.41
209,Ag2,1.628,0.2842,11.47
210,Ag2,1.63,0.2848,11.48
211,Ag2,1.636,0.287,11.53
212,Ag2,1.64,0.2882,11.55
213,Ag2,1.649,0.2913,11.62
214,Ag2,1.65,0.2916,11.62
215,Ag2,1.657,0.2942,11.68
216,Ag2,1.66,0.2951,11.69
217,Ag2,1.666,0.2972,11.74
218,Ag2,1.67,0.2985,11.77
219,Ag2,1.679,0.3017,11.83
220,Ag2,1.68,0.302,11.84
221,Ag2,1.688,0.3048,11.89
222,Ag2,1.69,0.3056,11.91
223,Ag2,1.696,0.3079,11.96
224,Ag2,1.7,0.3091,11.98
225,Ag2,1.705,0.3111,12.02
226,Ag2,1.71,0.3127,12.05
